x,y,Habitat,JunJul,DJF,AprMay
5213.,4741.,Co,14.088,-9.3467,4.34632
4991.,4281.,Co,15.876,-4.2409,7.41115
5205.,4837.,Co,13.393,-10.375,3.253685
5025.,4527.,Co,14.661,-6.6082,5.9104
5057.,5103.,Co,11.645,-11.219,1.7503
5267.,4737.,Co,13.996,-9.742,4.122355
5357.,4419.,We,15.658,-6.7473,6.44405
5285.,4717.,Co,14.268,-9.6444,4.40614
5141.,4971.,Co,12.873,-10.992,3.09032
4961.,5173.,We,10.521,-12.371,0.82195
5173.,4229.,Urb,16.617,-3.9417,7.62975
4949.,4381.,Co,14.652,-4.0656,5.9934
5247.,4673.,Co,14.663,-9.0422,4.9874
5175.,4871.,Op,13.192,-10.363,3.023645
4921.,4463.,Co,15.114,-4.666,6.2792
5043.,4347.,Br,15.656,-5.0327,6.65875
5135.,4743.,Op,14.287,-8.8186,4.65525
5221.,4451.,Br,15.694,-6.8911,6.71895
4957.,4569.,Ma,14.302,-4.8392,5.3767
5297.,4371.,We,16.459,-6.0737,6.48905
4933.,5049.,Br,12.492,-10.782,2.824025
4883.,4429.,Ma,14.729,-3.4302,5.577
5213.,4623.,Co,14.829,-8.2978,5.38225
5061.,4203.,Co,15.973,-3.9595,7.28875
4999.,5117.,Co,11.447,-11.611,1.72265
5245.,4565.,Br,15.542,-7.8187,5.807
4993.,4491.,Co,15.05,-5.9947,6.4571
4937.,5125.,Br,10.99,-11.637,1.07985
5055.,4915.,Co,13.367,-10.301,3.490071
5081.,4181.,Co,16.061,-3.0523,7.1206
5183.,4747.,Br,13.851,-9.2655,4.151785
5303.,4321.,Co,16.311,-5.7628,7.1448
4945.,4461.,Co,15.132,-4.8967,6.39585
5127.,4647.,Co,14.572,-8.0946,5.42265
5081.,4201.,We,15.999,-3.9345,7.395
5051.,4649.,Co,14.706,-7.3804,5.64675
5141.,4319.,Br,15.489,-5.5353,6.60195
5181.,4659.,Co,14.56,-8.4562,5.1102
5155.,4237.,Urb,16.765,-3.7575,7.8348
5043.,4523.,Co,14.572,-6.7821,5.76275
4929.,5023.,Co,11.994,-10.409,2.38814
4981.,4501.,Br,15.219,-5.7875,6.5859
5273.,4339.,We,16.642,-5.8041,7.27855
5223.,4613.,Co,14.704,-8.471,5.2266
4945.,4877.,Br,13.838,-10.111,4.115925
5027.,4403.,Co,14.889,-5.8427,6.3477
5059.,4239.,Urb,15.964,-4.2045,7.3725
5149.,4395.,Co,15.842,-5.7315,6.5131
5305.,4379.,We,16.134,-6.3245,6.40215
5019.,4791.,Ma,14.367,-7.8396,3.944115
4941.,4263.,Co,15.121,-2.5899,6.253
5001.,4301.,Urb,15.823,-4.6596,7.28345
4821.,5103.,Br,10.856,-13.026,0.4846
5123.,4439.,Co,15.585,-6.2243,6.5872
5021.,4655.,Br,14.207,-6.2927,5.0515
5109.,4969.,Co,13.208,-10.623,3.3694905
5031.,4725.,Ma,14.69,-7.0608,5.32115
